erp_key,bronze,schema,table,domain,dimensional_role,snowflake_candidate,fk_degree,pk_columns,row_count_afya,row_count_allos,populated_clients,silver_table,silver_domain,silver_implemented,grain
competences.CONSIDERACAO_FINAL,competences__CONSIDERACAO_FINAL,competences,CONSIDERACAO_FINAL,avaliacao,FACT,FACT_CONSIDERACAO_FINAL,0,ID,10078,9370,both,consideracao_final,avaliacao,yes,
competences.CURVA_PONTUACAO_AVALIACAO,competences__CURVA_PONTUACAO_AVALIACAO,competences,CURVA_PONTUACAO_AVALIACAO,avaliacao,DIM,DIM_CURVA_PONTUACAO_AVALIACAO,0,ID,416,325,both,curva_pontuacao_avaliacao,avaliacao,yes,
competences.CompetenceTypeComment,competences__CompetenceTypeComment,competences,CompetenceTypeComment,avaliacao,DIM,DIM_COMPETENCE_TYPE_COMMENT,0,Id,0,226,allos,competence_type_comment,avaliacao,yes,
competences.EvaluationCycleCalcResultEvaluated,competences__EvaluationCycleCalcResultEvaluated,competences,EvaluationCycleCalcResultEvaluated,avaliacao,FACT,FACT_EVALUATION_CYCLE_CALC_RESULT_EVALUATED,0,Id,14466,12585,both,evaluation_cycle_calc_result_evaluated,avaliacao,yes,
competences.FAIXA_CLASSIFICACAO_AVALIACAO,competences__FAIXA_CLASSIFICACAO_AVALIACAO,competences,FAIXA_CLASSIFICACAO_AVALIACAO,avaliacao,DIM,DIM_FAIXA_CLASSIFICACAO_AVALIACAO,0,ID,37,65,both,faixa_classificacao_avaliacao,avaliacao,yes,
competences.FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,competences__FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,competences,FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,avaliacao,DIM,DIM_FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,0,ID,36,0,afya,faixa_classificacao_performance_avaliacao,avaliacao,yes,
competences.FATOR_AVALIACAO,competences__FATOR_AVALIACAO,competences,FATOR_AVALIACAO,avaliacao,DIM,DIM_FATOR_AVALIACAO,0,ID,400,112,both,fator_avaliacao,avaliacao,yes,
competences.FORMULARIO_AVALIACAO,competences__FORMULARIO_AVALIACAO,competences,FORMULARIO_AVALIACAO,avaliacao,FACT,FACT_FORMULARIO_AVALIACAO,0,ID,47371,33351,both,formulario_avaliacao,avaliacao,yes,
competences.FUNCAO,competences__FUNCAO,competences,FUNCAO,avaliacao,DIM,DIM_FUNCAO,0,ID,75,128,both,funcao,avaliacao,yes,
competences.FUNCAO_COMPETENCIA,competences__FUNCAO_COMPETENCIA,competences,FUNCAO_COMPETENCIA,avaliacao,FACT,FACT_FUNCAO_COMPETENCIA,0,ID,2150,896,both,funcao_competencia,avaliacao,yes,
competences.FUNCAO_PERGUNTA_LIVRE,competences__FUNCAO_PERGUNTA_LIVRE,competences,FUNCAO_PERGUNTA_LIVRE,avaliacao,FACT,FACT_FUNCAO_PERGUNTA_LIVRE,0,ID,1419,284,both,funcao_pergunta_livre,avaliacao,yes,
competences.IndividualDevelopmentAction,competences__IndividualDevelopmentAction,competences,IndividualDevelopmentAction,pdi,FACT,FACT_INDIVIDUAL_DEVELOPMENT_ACTION,0,Id,10755,10564,both,individual_development_action,pdi,yes,
competences.ItensSenderToReleaseAppraiseesQueue,competences__ItensSenderToReleaseAppraiseesQueue,competences,ItensSenderToReleaseAppraiseesQueue,avaliacao,DEFER,,0,Id,0,0,none,itens_sender_to_release_appraisees_queue,avaliacao,yes,
competences.LOCALIDADE_INTERESSE_MUDANCA_AVALIADO,competences__LOCALIDADE_INTERESSE_MUDANCA_AVALIADO,competences,LOCALIDADE_INTERESSE_MUDANCA_AVALIADO,avaliacao,DEFER,,0,ID,0,0,none,localidade_interesse_mudanca_avaliado,avaliacao,yes,
competences.METODO_CALCULO,competences__METODO_CALCULO,competences,METODO_CALCULO,avaliacao,DIM,DIM_METODO_CALCULO,0,ID,73,131,both,metodo_calculo,avaliacao,yes,
competences.OPCAO_FUNCAO_PERGUNTA_LIVRE,competences__OPCAO_FUNCAO_PERGUNTA_LIVRE,competences,OPCAO_FUNCAO_PERGUNTA_LIVRE,avaliacao,FACT,FACT_OPCAO_FUNCAO_PERGUNTA_LIVRE,0,ID,3898,0,afya,opcao_funcao_pergunta_livre,avaliacao,yes,
competences.PESO_TIPO_AVALIADOR,competences__PESO_TIPO_AVALIADOR,competences,PESO_TIPO_AVALIADOR,avaliacao,DIM,DIM_PESO_TIPO_AVALIADOR,0,ID,61,124,both,peso_tipo_avaliador,avaliacao,yes,
competences.RESPOSTA_AVALIACAO,competences__RESPOSTA_AVALIACAO,competences,RESPOSTA_AVALIACAO,avaliacao,FACT,FACT_RESPOSTA,0,ID,50000,50000,both,resposta,avaliacao,yes,
competences.RESPOSTA_LIVRE_AVALIACAO,competences__RESPOSTA_LIVRE_AVALIACAO,competences,RESPOSTA_LIVRE_AVALIACAO,avaliacao,FACT,FACT_RESPOSTA_LIVRE_AVALIACAO,0,ID,50000,29878,both,resposta_livre_avaliacao,avaliacao,yes,
competences.TIPO_AVALIACAO,competences__TIPO_AVALIACAO,competences,TIPO_AVALIACAO,avaliacao,DIM,DIM_TIPO_AVALIACAO,0,ID,1,1,both,tipo_avaliacao,avaliacao,yes,
