erp_key,bronze_table,domain,dimensional_role,layer_path,raw_object,staging_object,edw_object,mart_object,localdrawdb_layer,localdrawdb_group,note
dbo.StrategyCycle,dbo__StrategyCycle,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyCycle,staging.stg_metricas_strategycycle,edw.defer_strategycycle,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.StrategyGoal,dbo__StrategyGoal,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyGoal,staging.stg_metricas_strategygoal,edw.defer_strategygoal,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.StrategyGoalMetric,dbo__StrategyGoalMetric,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyGoalMetric,staging.stg_metricas_strategygoalmetric,edw.defer_strategygoalmetric,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.StrategyGoalMetricValue,dbo__StrategyGoalMetricValue,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyGoalMetricValue,staging.stg_metricas_strategygoalmetricvalue,edw.defer_strategygoalmetricvalue,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.StrategyGoalProject,dbo__StrategyGoalProject,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyGoalProject,staging.stg_metricas_strategygoalproject,edw.defer_strategygoalproject,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.StrategyGoalProjectValue,dbo__StrategyGoalProjectValue,metricas,DEFER,raw+edw_stub,raw.dbo__StrategyGoalProjectValue,staging.stg_metricas_strategygoalprojectvalue,edw.defer_strategygoalprojectvalue,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.SuccessionCycle,dbo__SuccessionCycle,sucessao,DIM,raw+staging+edw,raw.dbo__SuccessionCycle,staging.stg_sucessao_successioncycle,edw.dim_succession_cycle,,edw,dimensional,DIM → edw.dim_succession_cycle
dbo.SuccessionCycleSettings,dbo__SuccessionCycleSettings,sucessao,DIM,raw+staging+edw,raw.dbo__SuccessionCycleSettings,staging.stg_sucessao_successioncyclesettings,edw.dim_succession_cycle_settings,,edw,dimensional,DIM → edw.dim_succession_cycle_settings
dbo.SuccessionJobPositionReadiness,dbo__SuccessionJobPositionReadiness,sucessao,DEFER,raw+edw_stub,raw.dbo__SuccessionJobPositionReadiness,staging.stg_sucessao_successionjobpositionreadiness,edw.defer_successionjobpositionreadiness,,raw,ingestao_sucessao,DEFER — stub EDW; sem dados piloto
dbo.SuccessionNomination,dbo__SuccessionNomination,sucessao,DEFER,raw+edw_stub,raw.dbo__SuccessionNomination,staging.stg_sucessao_successionnomination,edw.defer_successionnomination,,raw,ingestao_sucessao,DEFER — stub EDW; sem dados piloto
dbo.SuccessionResults,dbo__SuccessionResults,sucessao,DIM,raw+staging+edw,raw.dbo__SuccessionResults,staging.stg_sucessao_successionresults,edw.dim_succession_results,,edw,dimensional,DIM → edw.dim_succession_results
dbo.SuccessionScoresDetails,dbo__SuccessionScoresDetails,sucessao,FACT,raw+staging+edw,raw.dbo__SuccessionScoresDetails,staging.stg_sucessao_successionscoresdetails,edw.fact_succession_scores_details,,edw,fatos,FACT → edw.fact_succession_scores_details
dbo.SwotAnalysis,dbo__SwotAnalysis,metricas,DEFER,raw+edw_stub,raw.dbo__SwotAnalysis,staging.stg_metricas_swotanalysis,edw.defer_swotanalysis,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.SystemKnowledge,dbo__SystemKnowledge,colaborador,DIM,raw+staging+edw,raw.dbo__SystemKnowledge,staging.stg_colaborador_systemknowledge,edw.dim_system_knowledge,,edw,dimensional,DIM → edw.dim_system_knowledge
dbo.TAG_FEEDBACK,dbo__TAG_FEEDBACK,avaliacao,DIM,raw+staging+edw,raw.dbo__TAG_FEEDBACK,staging.stg_avaliacao_tag_feedback,edw.dim_tag_feedback,,edw,dimensional,DIM → edw.dim_tag_feedback
dbo.TAG_FEEDBACK_CONTINUO,dbo__TAG_FEEDBACK_CONTINUO,avaliacao,DIM,raw+staging+edw,raw.dbo__TAG_FEEDBACK_CONTINUO,staging.stg_avaliacao_tag_feedback_continuo,edw.dim_tag_feedback_continuo,,edw,dimensional,DIM → edw.dim_tag_feedback_continuo
dbo.TEMPLATE_USUARIO,dbo__TEMPLATE_USUARIO,unclassified,DEFER,raw+edw_stub,raw.dbo__TEMPLATE_USUARIO,staging.stg_erp_template_usuario,edw.defer_template_usuario,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.TERMO_ACEITE,dbo__TERMO_ACEITE,metricas,DIM,raw+staging+edw,raw.dbo__TERMO_ACEITE,staging.stg_metricas_termo_aceite,edw.dim_termo_aceite,,edw,dimensional,DIM → edw.dim_termo_aceite
dbo.TERMO_ACEITE_ASSINATURA,dbo__TERMO_ACEITE_ASSINATURA,organizacao,FACT,raw+staging+edw,raw.dbo__TERMO_ACEITE_ASSINATURA,staging.stg_organizacao_termo_aceite_assinatura,edw.fact_termo_aceite_assinatura,,edw,fatos,FACT → edw.fact_termo_aceite_assinatura
dbo.TERMO_ACEITE_SECAO,dbo__TERMO_ACEITE_SECAO,colaborador,DIM,raw+staging+edw,raw.dbo__TERMO_ACEITE_SECAO,staging.stg_colaborador_termo_aceite_secao,edw.dim_termo_aceite_secao,,edw,dimensional,DIM → edw.dim_termo_aceite_secao
dbo.TERMO_CONSENTIMENTO,dbo__TERMO_CONSENTIMENTO,unclassified,DEFER,raw+edw_stub,raw.dbo__TERMO_CONSENTIMENTO,staging.stg_erp_termo_consentimento,edw.defer_termo_consentimento,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.TIMELINE_FEEDBACK_CONTINUO,dbo__TIMELINE_FEEDBACK_CONTINUO,avaliacao,DIM,raw+staging+edw,raw.dbo__TIMELINE_FEEDBACK_CONTINUO,staging.stg_avaliacao_timeline_feedback_continuo,edw.dim_timeline_feedback,,edw,dimensional,DIM → edw.dim_timeline_feedback
dbo.TIPO_FEEDBACK_CONTINUO,dbo__TIPO_FEEDBACK_CONTINUO,avaliacao,DIM,raw+staging+edw,raw.dbo__TIPO_FEEDBACK_CONTINUO,staging.stg_avaliacao_tipo_feedback_continuo,edw.dim_tipo_feedback_continuo,,edw,dimensional,DIM → edw.dim_tipo_feedback_continuo
dbo.TOPICO_REUNIAO,dbo__TOPICO_REUNIAO,acao,DEFER,raw+edw_stub,raw.dbo__TOPICO_REUNIAO,staging.stg_acao_topico_reuniao,edw.defer_topico_reuniao,,raw,ingestao_acao,DEFER — stub EDW; sem dados piloto
dbo.TaskLog,dbo__TaskLog,plataforma,EXCLUDE,raw,raw.dbo__TaskLog,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.TemporaryBulkInsert,dbo__TemporaryBulkInsert,unclassified,DEFER,raw+edw_stub,raw.dbo__TemporaryBulkInsert,staging.stg_erp_temporarybulkinsert,edw.defer_temporarybulkinsert,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.Theme,dbo__Theme,colaborador,DIM,raw+staging+edw,raw.dbo__Theme,staging.stg_colaborador_theme,edw.dim_theme,,edw,dimensional,DIM → edw.dim_theme
dbo.ThemeHistory,dbo__ThemeHistory,colaborador,DIM,raw+staging+edw,raw.dbo__ThemeHistory,staging.stg_colaborador_themehistory,edw.dim_theme_history,,edw,dimensional,DIM → edw.dim_theme_history
dbo.ThemeShare,dbo__ThemeShare,colaborador,FACT,raw+staging+edw,raw.dbo__ThemeShare,staging.stg_colaborador_themeshare,edw.fact_theme_share,,edw,fatos,FACT → edw.fact_theme_share
dbo.TipoAcumulacao,dbo__TipoAcumulacao,referencia,REF,raw+staging+edw,raw.dbo__TipoAcumulacao,staging.stg_referencia_tipoacumulacao,edw.ref_tipo_acumulacao,,edw,ref,REF → edw.ref_tipo_acumulacao
dbo.Training,dbo__Training,pdi,DEFER,raw+edw_stub,raw.dbo__Training,staging.stg_pdi_training,edw.defer_training,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingAttachment,dbo__TrainingAttachment,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingAttachment,staging.stg_pdi_trainingattachment,edw.defer_trainingattachment,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingClass,dbo__TrainingClass,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingClass,staging.stg_pdi_trainingclass,edw.defer_trainingclass,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingClassDemands,dbo__TrainingClassDemands,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingClassDemands,staging.stg_pdi_trainingclassdemands,edw.defer_trainingclassdemands,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingClassParticipants,dbo__TrainingClassParticipants,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingClassParticipants,staging.stg_pdi_trainingclassparticipants,edw.defer_trainingclassparticipants,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingClassParticipantsConfirmed,dbo__TrainingClassParticipantsConfirmed,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingClassParticipantsConfirmed,staging.stg_pdi_trainingclassparticipantsconfirmed,edw.defer_trainingclassparticipantsconfirmed,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingClassTimeDaily,dbo__TrainingClassTimeDaily,unclassified,DEFER,raw+edw_stub,raw.dbo__TrainingClassTimeDaily,staging.stg_erp_trainingclasstimedaily,edw.defer_trainingclasstimedaily,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.TrainingClassTimeWeekly,dbo__TrainingClassTimeWeekly,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingClassTimeWeekly,staging.stg_pdi_trainingclasstimeweekly,edw.defer_trainingclasstimeweekly,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingDraft,dbo__TrainingDraft,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingDraft,staging.stg_pdi_trainingdraft,edw.defer_trainingdraft,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingPackage,dbo__TrainingPackage,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingPackage,staging.stg_pdi_trainingpackage,edw.defer_trainingpackage,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TrainingPackagesTrainings,dbo__TrainingPackagesTrainings,pdi,DEFER,raw+edw_stub,raw.dbo__TrainingPackagesTrainings,staging.stg_pdi_trainingpackagestrainings,edw.defer_trainingpackagestrainings,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.TranslateTagCulture,dbo__TranslateTagCulture,referencia,REF,raw+staging+edw,raw.dbo__TranslateTagCulture,staging.stg_referencia_translatetagculture,edw.ref_translate_tag_culture,,edw,ref,REF → edw.ref_translate_tag_culture
dbo.TranslateTagHandle,dbo__TranslateTagHandle,referencia,REF,raw+staging+edw,raw.dbo__TranslateTagHandle,staging.stg_referencia_translatetaghandle,edw.ref_translate_tag_handle,,edw,ref,REF → edw.ref_translate_tag_handle
dbo.Trigger,dbo__Trigger,metricas,DIM,raw+staging+edw,raw.dbo__Trigger,staging.stg_metricas_trigger,edw.dim_trigger,,edw,dimensional,DIM → edw.dim_trigger
dbo.TriggerArea,dbo__TriggerArea,organizacao,FACT,raw+staging+edw,raw.dbo__TriggerArea,staging.stg_organizacao_triggerarea,edw.fact_trigger_area,,edw,fatos,FACT → edw.fact_trigger_area
dbo.TriggerCurve,dbo__TriggerCurve,metricas,DIM,raw+staging+edw,raw.dbo__TriggerCurve,staging.stg_metricas_triggercurve,edw.dim_trigger_curve,,edw,dimensional,DIM → edw.dim_trigger_curve
dbo.TriggerCurveItem,dbo__TriggerCurveItem,metricas,DIM,raw+staging+edw,raw.dbo__TriggerCurveItem,staging.stg_metricas_triggercurveitem,edw.dim_trigger_curve_item,,edw,dimensional,DIM → edw.dim_trigger_curve_item
dbo.UNIDADE_MEDIDA,dbo__UNIDADE_MEDIDA,referencia,REF,raw+staging+edw,raw.dbo__UNIDADE_MEDIDA,staging.stg_referencia_unidade_medida,edw.ref_unit_of_measure,,edw,ref,REF → edw.ref_unit_of_measure
dbo.VALOR_META,dbo__VALOR_META,metricas,FACT,raw+staging+edw,raw.dbo__VALOR_META,staging.stg_metricas_valor_meta,edw.fact_goal_value,,edw,fatos,FACT → edw.fact_goal_value
dbo.VALOR_META_BOOK,dbo__VALOR_META_BOOK,metricas,DEFER,raw+edw_stub,raw.dbo__VALOR_META_BOOK,staging.stg_metricas_valor_meta_book,edw.defer_valor_meta_book,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.VALOR_SECAO,dbo__VALOR_SECAO,unclassified,DEFER,raw+edw_stub,raw.dbo__VALOR_SECAO,staging.stg_erp_valor_secao,edw.defer_valor_secao,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.VERSAO,dbo__VERSAO,referencia,REF,raw+staging+edw,raw.dbo__VERSAO,staging.stg_referencia_versao,edw.ref_versao,,edw,ref,REF → edw.ref_versao
dbo.VOTACAO_CAUSA,dbo__VOTACAO_CAUSA,acao,DEFER,raw+edw_stub,raw.dbo__VOTACAO_CAUSA,staging.stg_acao_votacao_causa,edw.defer_votacao_causa,,raw,ingestao_acao,DEFER — stub EDW; sem dados piloto
dbo.VW_AREA_QUEUE,dbo__VW_AREA_QUEUE,unclassified,DEFER,raw+edw_stub,raw.dbo__VW_AREA_QUEUE,staging.stg_erp_vw_area_queue,edw.defer_vw_area_queue,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.VW_AUDIT_AREA_QUEUE,dbo__VW_AUDIT_AREA_QUEUE,unclassified,EXCLUDE,raw,raw.dbo__VW_AUDIT_AREA_QUEUE,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.VW_AUDIT_COLABORADOR_QUEUE,dbo__VW_AUDIT_COLABORADOR_QUEUE,unclassified,EXCLUDE,raw,raw.dbo__VW_AUDIT_COLABORADOR_QUEUE,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.VW_COLABORADOR_INATIVADO_QUEUE,dbo__VW_COLABORADOR_INATIVADO_QUEUE,unclassified,DEFER,raw+edw_stub,raw.dbo__VW_COLABORADOR_INATIVADO_QUEUE,staging.stg_erp_vw_colaborador_inativado_queue,edw.defer_vw_colaborador_inativado_queue,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.VW_COLABORADOR_QUEUE,dbo__VW_COLABORADOR_QUEUE,unclassified,DEFER,raw+edw_stub,raw.dbo__VW_COLABORADOR_QUEUE,staging.stg_erp_vw_colaborador_queue,edw.defer_vw_colaborador_queue,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.VW_GOAL_RESPONSIBLE,dbo__VW_GOAL_RESPONSIBLE,unclassified,DEFER,raw+edw_stub,raw.dbo__VW_GOAL_RESPONSIBLE,staging.stg_erp_vw_goal_responsible,edw.defer_vw_goal_responsible,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.VW_GOAL_WEIGHT,dbo__VW_GOAL_WEIGHT,unclassified,DEFER,raw+edw_stub,raw.dbo__VW_GOAL_WEIGHT,staging.stg_erp_vw_goal_weight,edw.defer_vw_goal_weight,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.VW_KPI,dbo__VW_KPI,unclassified,DEFER,raw+edw_stub,raw.dbo__VW_KPI,staging.stg_erp_vw_kpi,edw.defer_vw_kpi,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.VW_MANAGEMENT_CYCLE,dbo__VW_MANAGEMENT_CYCLE,unclassified,DEFER,raw+edw_stub,raw.dbo__VW_MANAGEMENT_CYCLE,staging.stg_erp_vw_management_cycle,edw.defer_vw_management_cycle,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.ValorMatriz,dbo__ValorMatriz,metricas,DEFER,raw+edw_stub,raw.dbo__ValorMatriz,staging.stg_metricas_valormatriz,edw.defer_valormatriz,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.Visao,dbo__Visao,metricas,DEFER,raw+edw_stub,raw.dbo__Visao,staging.stg_metricas_visao,edw.defer_visao,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.VolunteerExperience,dbo__VolunteerExperience,colaborador,DIM,raw+staging+edw,raw.dbo__VolunteerExperience,staging.stg_colaborador_volunteerexperience,edw.dim_volunteer_experience,,edw,dimensional,DIM → edw.dim_volunteer_experience
dbo.VolunteerFunction,dbo__VolunteerFunction,colaborador,DIM,raw+staging+edw,raw.dbo__VolunteerFunction,staging.stg_colaborador_volunteerfunction,edw.dim_volunteer_function,,edw,dimensional,DIM → edw.dim_volunteer_function
dbo.WelcomeSupportEmployee,dbo__WelcomeSupportEmployee,colaborador,DEFER,raw+edw_stub,raw.dbo__WelcomeSupportEmployee,staging.stg_colaborador_welcomesupportemployee,edw.defer_welcomesupportemployee,,raw,ingestao_colaborador,DEFER — stub EDW; sem dados piloto
dbo.XAxisClassification,dbo__XAxisClassification,sucessao,DIM,raw+staging+edw,raw.dbo__XAxisClassification,staging.stg_sucessao_xaxisclassification,edw.dim_x_axis_classification,,edw,dimensional,DIM → edw.dim_x_axis_classification
dbo.YAxisClassification,dbo__YAxisClassification,sucessao,DIM,raw+staging+edw,raw.dbo__YAxisClassification,staging.stg_sucessao_yaxisclassification,edw.dim_y_axis_classification,,edw,dimensional,DIM → edw.dim_y_axis_classification
dbo.YearPersonalGoal,dbo__YearPersonalGoal,metricas,DIM,raw+staging+edw,raw.dbo__YearPersonalGoal,staging.stg_metricas_yearpersonalgoal,edw.dim_year_personal_goal,,edw,dimensional,DIM → edw.dim_year_personal_goal
dbo.__MigrationHistory,dbo____MigrationHistory,plataforma,EXCLUDE,raw,raw.dbo____MigrationHistory,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.dual,dbo__dual,plataforma,EXCLUDE,raw,raw.dbo__dual,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.vw_goal,dbo__vw_goal,unclassified,DEFER,raw+edw_stub,raw.dbo__vw_goal,staging.stg_erp_vw_goal,edw.defer_vw_goal,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
import.ImportItem,import__ImportItem,unclassified,DEFER,raw+edw_stub,raw.import__ImportItem,staging.stg_erp_importitem,edw.defer_importitem,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
notification.MailSettings,notification__MailSettings,plataforma,EXCLUDE,raw,raw.notification__MailSettings,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
okr.EmployeeKeyResult,okr__EmployeeKeyResult,metricas,DEFER,raw+edw_stub,raw.okr__EmployeeKeyResult,staging.stg_metricas_employeekeyresult,edw.defer_employeekeyresult,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
okr.KeyResult,okr__KeyResult,metricas,DEFER,raw+edw_stub,raw.okr__KeyResult,staging.stg_metricas_keyresult,edw.defer_keyresult,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
okr.KeyResultProgress,okr__KeyResultProgress,metricas,DEFER,raw+edw_stub,raw.okr__KeyResultProgress,staging.stg_metricas_keyresultprogress,edw.defer_keyresultprogress,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
okr.KeyResultValue,okr__KeyResultValue,metricas,DEFER,raw+edw_stub,raw.okr__KeyResultValue,staging.stg_metricas_keyresultvalue,edw.defer_keyresultvalue,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
okr.Objective,okr__Objective,metricas,DEFER,raw+edw_stub,raw.okr__Objective,staging.stg_metricas_objective,edw.defer_objective,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
okr.ObjectiveProgress,okr__ObjectiveProgress,metricas,DEFER,raw+edw_stub,raw.okr__ObjectiveProgress,staging.stg_metricas_objectiveprogress,edw.defer_objectiveprogress,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
okr.ObjectiveTree,okr__ObjectiveTree,metricas,DEFER,raw+edw_stub,raw.okr__ObjectiveTree,staging.stg_metricas_objectivetree,edw.defer_objectivetree,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
okr.ToDoKR,okr__ToDoKR,metricas,DEFER,raw+edw_stub,raw.okr__ToDoKR,staging.stg_metricas_todokr,edw.defer_todokr,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
stg.ConsolidatedScoreView,stg__ConsolidatedScoreView,views_stg,EXCLUDE,raw,raw.stg__ConsolidatedScoreView,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
stg.GoalReportView,stg__GoalReportView,unclassified,EXCLUDE,raw,raw.stg__GoalReportView,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
stg.GoalView,stg__GoalView,views_stg,EXCLUDE,raw,raw.stg__GoalView,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
stg.VCExtract,stg__VCExtract,views_stg,EXCLUDE,raw,raw.stg__VCExtract,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
stg.vcExtractLastLastUpdate,stg__vcExtractLastLastUpdate,views_stg,EXCLUDE,raw,raw.stg__vcExtractLastLastUpdate,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
