erp_key,bronze_table,domain,dimensional_role,layer_path,raw_object,staging_object,edw_object,mart_object,localdrawdb_layer,localdrawdb_group,note
dbo.PERFIL_USUARIO,dbo__PERFIL_USUARIO,colaborador,DIM,raw+staging+edw,raw.dbo__PERFIL_USUARIO,staging.stg_colaborador_perfil_usuario,edw.dim_perfil_usuario,,edw,dimensional,DIM → edw.dim_perfil_usuario
dbo.PERIODO_APURACAO,dbo__PERIODO_APURACAO,metricas,DIM,raw+staging+edw,raw.dbo__PERIODO_APURACAO,staging.stg_metricas_periodo_apuracao,edw.dim_time_apuracao,,edw,dimensional,DIM → edw.dim_time_apuracao
dbo.PERIODO_AVALIACAO_PROJETO,dbo__PERIODO_AVALIACAO_PROJETO,avaliacao,DEFER,raw+edw_stub,raw.dbo__PERIODO_AVALIACAO_PROJETO,staging.stg_avaliacao_periodo_avaliacao_projeto,edw.defer_periodo_avaliacao_projeto,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.PERIODO_GESTAO,dbo__PERIODO_GESTAO,metricas,DIM,raw+staging+edw,raw.dbo__PERIODO_GESTAO,staging.stg_metricas_periodo_gestao,edw.dim_time_gestao,,edw,dimensional,DIM → edw.dim_time_gestao
dbo.PERMISSAO_DASHBOARD,dbo__PERMISSAO_DASHBOARD,colaborador,DEFER,raw+edw_stub,raw.dbo__PERMISSAO_DASHBOARD,staging.stg_colaborador_permissao_dashboard,edw.defer_permissao_dashboard,,raw,ingestao_colaborador,DEFER — stub EDW; sem dados piloto
dbo.PLANO_PESO_AVALIADOR,dbo__PLANO_PESO_AVALIADOR,unclassified,DEFER,raw+edw_stub,raw.dbo__PLANO_PESO_AVALIADOR,staging.stg_erp_plano_peso_avaliador,edw.defer_plano_peso_avaliador,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.PLUGIN_INFO,dbo__PLUGIN_INFO,referencia,REF,raw+staging+edw,raw.dbo__PLUGIN_INFO,staging.stg_referencia_plugin_info,edw.ref_plugin_info,,edw,ref,REF → edw.ref_plugin_info
dbo.POTENCIAL,dbo__POTENCIAL,sucessao,DEFER,raw+edw_stub,raw.dbo__POTENCIAL,staging.stg_sucessao_potencial,edw.defer_potencial,,raw,ingestao_sucessao,DEFER — stub EDW; sem dados piloto
dbo.PRE_TRABALHO_AVALIADO_SUCESSAO,dbo__PRE_TRABALHO_AVALIADO_SUCESSAO,unclassified,DEFER,raw+edw_stub,raw.dbo__PRE_TRABALHO_AVALIADO_SUCESSAO,staging.stg_erp_pre_trabalho_avaliado_sucessao,edw.defer_pre_trabalho_avaliado_sucessao,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.PROCESSO,dbo__PROCESSO,colaborador,DIM,raw+staging+edw,raw.dbo__PROCESSO,staging.stg_colaborador_processo,edw.dim_processo,,edw,dimensional,DIM → edw.dim_processo
dbo.PROJETO_AVALIACAO,dbo__PROJETO_AVALIACAO,avaliacao,DEFER,raw+edw_stub,raw.dbo__PROJETO_AVALIACAO,staging.stg_avaliacao_projeto_avaliacao,edw.defer_projeto_avaliacao,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.PSW_COLABORADOR,dbo__PSW_COLABORADOR,colaborador,FACT,raw+staging+edw,raw.dbo__PSW_COLABORADOR,staging.stg_colaborador_psw_colaborador,edw.fact_psw_colaborador,,edw,fatos,FACT → edw.fact_psw_colaborador
dbo.PSW_COLABORADOR_ITEM,dbo__PSW_COLABORADOR_ITEM,colaborador,BRIDGE,raw+staging+edw,raw.dbo__PSW_COLABORADOR_ITEM,staging.stg_colaborador_psw_colaborador_item,edw.brg_psw_colaborador_item,,edw,bridge,BRIDGE → edw.brg_psw_colaborador_item
dbo.PULSE_FEEDBACK_CONTINUO,dbo__PULSE_FEEDBACK_CONTINUO,avaliacao,DEFER,raw+edw_stub,raw.dbo__PULSE_FEEDBACK_CONTINUO,staging.stg_avaliacao_pulse_feedback_continuo,edw.defer_pulse_feedback_continuo,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.ParticipantAdvancePayment,dbo__ParticipantAdvancePayment,remuneracao,DEFER,raw+edw_stub,raw.dbo__ParticipantAdvancePayment,staging.stg_remuneracao_participantadvancepayment,edw.defer_participantadvancepayment,,raw,ingestao_remuneracao,DEFER — stub EDW; sem dados piloto
dbo.ParticipantAdvancePaymentDiscount,dbo__ParticipantAdvancePaymentDiscount,remuneracao,DEFER,raw+edw_stub,raw.dbo__ParticipantAdvancePaymentDiscount,staging.stg_remuneracao_participantadvancepaymentdiscount,edw.defer_participantadvancepaymentdiscount,,raw,ingestao_remuneracao,DEFER — stub EDW; sem dados piloto
dbo.ParticipantAggregatedAdvancePayment,dbo__ParticipantAggregatedAdvancePayment,remuneracao,DEFER,raw+edw_stub,raw.dbo__ParticipantAggregatedAdvancePayment,staging.stg_remuneracao_participantaggregatedadvancepayment,edw.defer_participantaggregatedadvancepayment,,raw,ingestao_remuneracao,DEFER — stub EDW; sem dados piloto
dbo.ParticipantAggregatedAdvancePaymentDiscount,dbo__ParticipantAggregatedAdvancePaymentDiscount,unclassified,DEFER,raw+edw_stub,raw.dbo__ParticipantAggregatedAdvancePaymentDiscount,staging.stg_erp_participantaggregatedadvancepaymentdiscount,edw.defer_participantaggregatedadvancepaymentdiscount,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.ParticipantAggregatedExtract,dbo__ParticipantAggregatedExtract,remuneracao,FACT,raw+staging+edw,raw.dbo__ParticipantAggregatedExtract,staging.stg_remuneracao_participantaggregatedextract,edw.fact_participant_aggregated_extract,,edw,fatos,FACT → edw.fact_participant_aggregated_extract
dbo.ParticipantExtract,dbo__ParticipantExtract,remuneracao,FACT,raw+staging+edw,raw.dbo__ParticipantExtract,staging.stg_remuneracao_participantextract,edw.fact_participant_extract,,edw,fatos,FACT → edw.fact_participant_extract
dbo.ParticipantExtractControl,dbo__ParticipantExtractControl,remuneracao,FACT,raw+staging+edw,raw.dbo__ParticipantExtractControl,staging.stg_remuneracao_participantextractcontrol,edw.fact_participant_extract_control,,edw,fatos,FACT → edw.fact_participant_extract_control
dbo.PermissaoFinanceira,dbo__PermissaoFinanceira,colaborador,DEFER,raw+edw_stub,raw.dbo__PermissaoFinanceira,staging.stg_colaborador_permissaofinanceira,edw.defer_permissaofinanceira,,raw,ingestao_colaborador,DEFER — stub EDW; sem dados piloto
dbo.PersonalCharacteristics,dbo__PersonalCharacteristics,colaborador,DIM,raw+staging+edw,raw.dbo__PersonalCharacteristics,staging.stg_colaborador_personalcharacteristics,edw.dim_personal_characteristics,,edw,dimensional,DIM → edw.dim_personal_characteristics
dbo.Perspective,dbo__Perspective,metricas,DEFER,raw+edw_stub,raw.dbo__Perspective,staging.stg_metricas_perspective,edw.defer_perspective,,raw,ingestao_metricas,DEFER — stub EDW; sem dados piloto
dbo.Pool,dbo__Pool,metricas,DIM,raw+staging+edw,raw.dbo__Pool,staging.stg_metricas_pool,edw.dim_pool,,edw,dimensional,DIM → edw.dim_pool
dbo.PresentationFavoriteSlide,dbo__PresentationFavoriteSlide,colaborador,DIM,raw+staging+edw,raw.dbo__PresentationFavoriteSlide,staging.stg_colaborador_presentationfavoriteslide,edw.dim_presentation_favorite_slide,,edw,dimensional,DIM → edw.dim_presentation_favorite_slide
dbo.PresentationTemplate,dbo__PresentationTemplate,plataforma,EXCLUDE,raw,raw.dbo__PresentationTemplate,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.PresentationTemplateHistory,dbo__PresentationTemplateHistory,plataforma,EXCLUDE,raw,raw.dbo__PresentationTemplateHistory,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.PresentationTemplateShare,dbo__PresentationTemplateShare,plataforma,EXCLUDE,raw,raw.dbo__PresentationTemplateShare,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.PresentationTemplateSlide,dbo__PresentationTemplateSlide,plataforma,EXCLUDE,raw,raw.dbo__PresentationTemplateSlide,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.PresentationTemplateVersion,dbo__PresentationTemplateVersion,plataforma,EXCLUDE,raw,raw.dbo__PresentationTemplateVersion,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
