silver_domain,silver_table,bronze,erp_key,dimensional_role,reuse_action,snowflake_candidate,grain,row_count_afya,row_count_allos,status,wave,notes
avaliacao,calc_resposta,competences__CALC_RESPOSTA,competences.CALC_RESPOSTA,FACT,REUSE_AS_FACT,FACT_CALC_RESPOSTA,,50000,50000,implemented,3,
avaliacao,calc_resultado_avaliador,competences__CALC_RESULTADO_AVALIADOR,competences.CALC_RESULTADO_AVALIADOR,FACT,REUSE_AS_FACT,FACT_CALC_RESULTADO_AVALIADOR,"tenant_slug, id_avaliador, id_competencia",42239,25188,implemented,3,
avaliacao,calc_resultado_avaliador_competencia,competences__CALC_RESULTADO_AVALIADOR_COMPETENCIA,competences.CALC_RESULTADO_AVALIADOR_COMPETENCIA,FACT,REUSE_AS_FACT,FACT_CALC_RESULTADO_AVALIADOR_COMPETENCIA,,50000,50000,implemented,3,
avaliacao,calc_resultado_colaborador_performance,competences__CALC_RESULTADO_COLABORADOR_PERFORMANCE,competences.CALC_RESULTADO_COLABORADOR_PERFORMANCE,FACT,REUSE_AS_FACT,FACT_CALC_RESULTADO_COLABORADOR_PERFORMANCE,,17221,0,implemented,3,
avaliacao,calc_resultado_competencia,competences__CALC_RESULTADO_COMPETENCIA,competences.CALC_RESULTADO_COMPETENCIA,FACT,REUSE_AS_FACT,FACT_CALC_RESULTADO_COMPETENCIA,,50000,50000,implemented,3,
avaliacao,calc_resultado_fator_avaliacao,competences__CALC_RESULTADO_FATOR_AVALIACAO,competences.CALC_RESULTADO_FATOR_AVALIACAO,FACT,REUSE_AS_FACT,FACT_CALC_RESULTADO_FATOR_AVALIACAO,,50000,50000,implemented,3,
avaliacao,calc_resultado_tipo_avaliador,competences__CALC_RESULTADO_TIPO_AVALIADOR,competences.CALC_RESULTADO_TIPO_AVALIADOR,FACT,REUSE_AS_FACT,FACT_CALC_RESULTADO_TIPO_AVALIADOR,,31056,21729,implemented,3,
avaliacao,comentario_avaliado_nine_box,competences__COMENTARIO_AVALIADO_NINE_BOX,competences.COMENTARIO_AVALIADO_NINE_BOX,FACT,REUSE_AS_FACT,FACT_COMENTARIO_AVALIADO_NINE_BOX,,1743,0,implemented,3,
avaliacao,comentario_competencia,competences__COMENTARIO_COMPETENCIA,competences.COMENTARIO_COMPETENCIA,FACT,REUSE_AS_FACT,FACT_COMENTARIO_COMPETENCIA,,41080,50000,implemented,3,
avaliacao,consideracao_final,competences__CONSIDERACAO_FINAL,competences.CONSIDERACAO_FINAL,FACT,REUSE_AS_FACT,FACT_CONSIDERACAO_FINAL,,10078,9370,implemented,3,
avaliacao,curva_pontuacao_avaliacao,competences__CURVA_PONTUACAO_AVALIACAO,competences.CURVA_PONTUACAO_AVALIACAO,DIM,REUSE_AS_DIM,DIM_CURVA_PONTUACAO_AVALIACAO,,416,325,implemented,3,
avaliacao,competence_type_comment,competences__CompetenceTypeComment,competences.CompetenceTypeComment,DIM,REUSE_AS_DIM,DIM_COMPETENCE_TYPE_COMMENT,,0,226,implemented,3,
