erp_key,bronze,diff_type,rows_staging,rows_afya,rows_allos,staging_only_data
dbo.ANEXO_QUICK_MEETING,dbo__ANEXO_QUICK_MEETING,present_both,0,0,0,no
dbo.ANEXO_REUNIAO,dbo__ANEXO_REUNIAO,present_both,3,0,0,yes
dbo.API_CONFIG,dbo__API_CONFIG,present_both,3,3,3,no
dbo.AREA,dbo__AREA,present_both,3846,34632,2135,no
dbo.AREA_BOOK,dbo__AREA_BOOK,present_both,27,0,0,yes
dbo.AREA_FORUM_SUCESSAO,dbo__AREA_FORUM_SUCESSAO,present_both,14,1,0,no
dbo.AUDIT_ACAO,dbo__AUDIT_ACAO,present_both,4850,19896,150,no
dbo.AUDIT_AREA,dbo__AUDIT_AREA,present_both,32354,50000,45200,no
dbo.AUDIT_AREA_HISTORY,dbo__AUDIT_AREA_HISTORY,present_both,12,10,295,no
dbo.AUDIT_AVALIACAO,dbo__AUDIT_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_AVALIADO,dbo__AUDIT_AVALIADO,present_both,0,0,0,no
dbo.AUDIT_AVALIADOR,dbo__AUDIT_AVALIADOR,present_both,0,0,0,no
dbo.AUDIT_CALC_RESPOSTA,dbo__AUDIT_CALC_RESPOSTA,present_both,0,0,0,no
dbo.AUDIT_CALC_RESULTADO_AVALIADOR,dbo__AUDIT_CALC_RESULTADO_AVALIADOR,present_both,0,0,0,no
dbo.AUDIT_CALC_RESULTADO_AVALIADOR_TIPO_COMPETENCIA,dbo__AUDIT_CALC_RESULTADO_AVALIADOR_TIPO_COMPETENCIA,present_both,0,0,0,no
dbo.AUDIT_CALC_RESULTADO_COLABORADOR,dbo__AUDIT_CALC_RESULTADO_COLABORADOR,present_both,0,0,0,no
dbo.AUDIT_CALC_RESULTADO_COMPETENCIA,dbo__AUDIT_CALC_RESULTADO_COMPETENCIA,present_both,0,0,0,no
dbo.AUDIT_CALC_RESULTADO_FATOR_AVALIACAO,dbo__AUDIT_CALC_RESULTADO_FATOR_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_CALC_RESULTADO_TIPO_AVALIADOR,dbo__AUDIT_CALC_RESULTADO_TIPO_AVALIADOR,present_both,0,0,0,no
dbo.AUDIT_CALC_RESULTADO_TIPO_AVALIADOR_TIPO_COMPETENCIA,dbo__AUDIT_CALC_RESULTADO_TIPO_AVALIADOR_TIPO_COMPETENCIA,present_both,0,0,0,no
dbo.AUDIT_CALIBRADOS_PERFORMANCE,dbo__AUDIT_CALIBRADOS_PERFORMANCE,present_both,0,0,0,no
dbo.AUDIT_COLABORADOR,dbo__AUDIT_COLABORADOR,present_both,2348,50000,50000,no
